Nicki,Great Dane,2,0.5365327
Willa,Beagle,4,0.824286587
Jude,Corgi,3,0.741597414
Leia,Bulldog,13,0.347973949
Will,Dachshund,10,0.028880419
Alfie,German Shepherd,3,0.620472819
Luke,Pointer,6,0.043421802
Riley,Bulldog,5,0.561933239
Bodhi,Dachshund,2,0.90597651
Liv,Poodle,7,0.625752515
Indie,Great Dane,9,0.362132458
Felix,Retriever,3,0.196781033
Noah,Dachshund,10,0.351179893
Posie,Rottweiler,15,0.615698857
Wade,Retriever,10,0.020791407
Tia,Pointer,4,0.363702031
Byron,Great Dane,7,0.052881514
Alex,Bulldog,14,0.27415628
Reid,Terrier,9,0.502539791
Gabe,Boxer,12,0.371157738
Azra,Terrier,14,0.122288785
Ben,Retriever,11,0.762023395
Scott,German Shepherd,8,0.376477575
Bede,German Shepherd,9,0.289677819
Shay,Bulldog,4,0.171810992
Neve,Beagle,9,0.098192039
Lexi,Terrier,13,0.950707184
Phoenix,Retriever,2,0.102166355
Callie,Dachshund,5,0.837837074
Lula,German Shepherd,13,0.713350542
Sage,Pointer,0,0.827563876
Sophie,Pointer,6,0.035624684
Zen,Retriever,1,0.429660796
Ruby,Boxer,0,0.380192642
Summer,Beagle,12,0.61048341
Ade,Corgi,11,0.57275802
Bree,Boxer,15,0.990965593
Jazz,Pointer,8,0.404673812
Joel,Retriever,2,0.936195322
Duke,Great Dane,3,0.971924105
Troy,Bulldog,10,0.630177348
Nell,Retriever,0,0.838348277
Heath,Pointer,14,0.935760867
Ali,Terrier,4,0.201816108
Hadley,Beagle,9,0.408506635
Nala,Beagle,5,0.546246428
Zane,Rottweiler,5,0.175390271
Seth,Beagle,13,0.100825719
Sydney,Rottweiler,13,0.307382394
Poppy,Rottweiler,1,0.246511676
Taya,Great Dane,5,0.48786561
Freya,Dachshund,9,0.470134104
Ryder,Great Dane,0,0.21511904
Oakley,Rottweiler,8,0.802506564
Rowan,Corgi,9,0.068248405
Ed,Boxer,3,0.273465324
Cliff,Beagle,8,0.062706585
Harley,Dachshund,6,0.466347035
Kai,Retriever,2,0.44744401
Dita,Boxer,7,0.864584794
Curtis,Poodle,3,0.503669983
Theo,German Shepherd,15,0.188461401
Dane,Great Dane,7,0.638576465
Wendy,Pointer,15,0.478272829
Leo,Pointer,5,0.10377578
Seren,Bulldog,8,0.480395218
Skye,Pointer,9,0.063618996
Jake,Retriever,10,0.452459249
Romy,Great Dane,5,0.416619754
Lana,Boxer,3,0.049821741
Maya,Rottweiler,5,0.20016027
Ty,Dachshund,15,0.191143566
Coral,Poodle,9,0.081842291
Tess,Poodle,0,0.747092586
Zelda,Pointer,15,0.183831095
Brooke,Retriever,12,0.427201985
Brad,Beagle,9,0.117241221
Leah,Rottweiler,7,0.353176485
